"","Series","Date","Value"
"31665","Retirement benefit assets",2014-09-01,4624690
"31666","Retirement benefit assets",2014-10-01,4594726
"31667","Retirement benefit assets",2014-11-01,4606928
"31668","Retirement benefit assets",2014-12-01,4918943
"31669","Retirement benefit assets",2015-01-01,4906259
"31670","Retirement benefit assets",2015-02-01,4909987
"31671","Retirement benefit assets",2015-03-01,5128515
"31672","Retirement benefit assets",2015-04-01,5151465
"31673","Retirement benefit assets",2015-05-01,6531457
"31674","Retirement benefit assets",2015-06-01,6487689
"31675","Retirement benefit assets",2015-07-01,6504375
"31676","Retirement benefit assets",2015-08-01,6509689
"31677","Retirement benefit assets",2015-09-01,6304153
"31678","Retirement benefit assets",2015-10-01,6304677
"31679","Retirement benefit assets",2015-11-01,6318220
"31680","Retirement benefit assets",2015-12-01,6574814
"31681","Retirement benefit assets",2016-01-01,6571260
"31682","Retirement benefit assets",2016-02-01,6583433
"31683","Retirement benefit assets",2016-03-01,6490602
"31684","Retirement benefit assets",2016-04-01,6494013
"31685","Retirement benefit assets",2016-05-01,6526160
"31686","Retirement benefit assets",2016-06-01,6877405
"31687","Retirement benefit assets",2016-07-01,6933460
"31688","Retirement benefit assets",2016-08-01,6946153
"31689","Retirement benefit assets",2016-09-01,6985138
"31690","Retirement benefit assets",2016-10-01,7005804
"31691","Retirement benefit assets",2016-11-01,7000196
"31692","Retirement benefit assets",2016-12-01,6813257
"31693","Retirement benefit assets",2017-01-01,6817895
"31694","Retirement benefit assets",2017-02-01,6811560
"31695","Retirement benefit assets",2017-03-01,6983238
"31696","Retirement benefit assets",2017-04-01,6978870
"31697","Retirement benefit assets",2017-05-01,6971281
"31698","Retirement benefit assets",2017-06-01,7162931
"31699","Retirement benefit assets",2017-07-01,7117965
"31700","Retirement benefit assets",2017-08-01,7124056
"31701","Retirement benefit assets",2017-09-01,7189937
"31702","Retirement benefit assets",2017-10-01,7248561
"31703","Retirement benefit assets",2017-11-01,7259989
"31704","Retirement benefit assets",2017-12-01,7600534
"31705","Retirement benefit assets",2018-01-01,7304773
"31706","Retirement benefit assets",2018-02-01,7321761
"31707","Retirement benefit assets",2018-03-01,6911509
"31708","Retirement benefit assets",2018-04-01,6908447
"31709","Retirement benefit assets",2018-05-01,6901248
"31710","Retirement benefit assets",2018-06-01,7566988
"31711","Retirement benefit assets",2018-07-01,6488676
"31712","Retirement benefit assets",2018-08-01,6492447
"31713","Retirement benefit assets",2018-09-01,6788355
"31714","Retirement benefit assets",2018-10-01,6791610
"31715","Retirement benefit assets",2018-11-01,6795853
"31716","Retirement benefit assets",2018-12-01,6495957
"31717","Retirement benefit assets",2019-01-01,6082131
"31718","Retirement benefit assets",2019-02-01,6079645
"31719","Retirement benefit assets",2019-03-01,6174951
"31720","Retirement benefit assets",2019-04-01,6174808
"31721","Retirement benefit assets",2019-05-01,6107632
"31722","Retirement benefit assets",2019-06-01,6168589
"31723","Retirement benefit assets",2019-07-01,6167514
"31724","Retirement benefit assets",2019-08-01,6156529
"31725","Retirement benefit assets",2019-09-01,6282806
"31726","Retirement benefit assets",2019-10-01,6306099
"31727","Retirement benefit assets",2019-11-01,6308017
"31728","Retirement benefit assets",2019-12-01,6907921
"31729","Retirement benefit assets",2020-01-01,7076100
"31730","Retirement benefit assets",2020-02-01,7068362
"31731","Retirement benefit assets",2020-03-01,6616265
"31732","Retirement benefit assets",2020-04-01,6469288
"31733","Retirement benefit assets",2020-05-01,6476771
"31734","Retirement benefit assets",2020-06-01,7000537
"31735","Retirement benefit assets",2020-07-01,6937321
"31736","Retirement benefit assets",2020-08-01,6914088
"31737","Retirement benefit assets",2020-09-01,7085363
"31738","Retirement benefit assets",2020-10-01,7077235
"31739","Retirement benefit assets",2020-11-01,7076899
"31740","Retirement benefit assets",2020-12-01,7333788
"31741","Retirement benefit assets",2021-01-01,7332706
"31742","Retirement benefit assets",2021-02-01,7328114
"31743","Retirement benefit assets",2021-03-01,7645058
"31744","Retirement benefit assets",2021-04-01,7636789
"31745","Retirement benefit assets",2021-05-01,7633597
"31746","Retirement benefit assets",2021-06-01,8036372
"31747","Retirement benefit assets",2021-07-01,8034898
"31748","Retirement benefit assets",2021-08-01,8034744
"31749","Retirement benefit assets",2021-09-01,8050168
"31750","Retirement benefit assets",2021-10-01,8053458
"31751","Retirement benefit assets",2021-11-01,8047512
"31752","Retirement benefit assets",2021-12-01,8215436
"31753","Retirement benefit assets",2022-01-01,8201419
"31754","Retirement benefit assets",2022-02-01,8202481
"31755","Retirement benefit assets",2022-03-01,8231548
"31756","Retirement benefit assets",2022-04-01,8232229
"31757","Retirement benefit assets",2022-05-01,8234766
"31758","Retirement benefit assets",2022-06-01,8227427
"31759","Retirement benefit assets",2022-07-01,8223912
"31760","Retirement benefit assets",2022-08-01,8227893
"31761","Retirement benefit assets",2022-09-01,8181636
"31762","Retirement benefit assets",2022-10-01,8181833
"31763","Retirement benefit assets",2022-11-01,8182089
"31764","Retirement benefit assets",2022-12-01,6573130
"31765","Retirement benefit assets",2023-01-01,6468914
"31766","Retirement benefit assets",2023-02-01,6467204
"31767","Retirement benefit assets",2023-03-01,6818686
"31768","Retirement benefit assets",2023-04-01,6820008
"31769","Retirement benefit assets",2023-05-01,6821031
"31770","Retirement benefit assets",2023-06-01,6468822
"31771","Retirement benefit assets",2023-07-01,6513863
"31772","Retirement benefit assets",2023-08-01,6511139
"31773","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-01-01,394807
"31774","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-02-01,436707
"31775","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-03-01,490508
"31776","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-04-01,587607
"31777","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-05-01,646167
"31778","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-06-01,769343
"31779","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-07-01,315921
"31780","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-08-01,237572
"31781","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-09-01,240336
"31782","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-10-01,261332
"31783","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-11-01,281546
"31784","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2008-12-01,305976
"31785","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-01-01,306912
"31786","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-02-01,344330
"31787","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-03-01,276312
"31788","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-04-01,299350
"31789","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-05-01,283441
"31790","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-06-01,497335
"31791","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-07-01,508690
"31792","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-08-01,526936
"31793","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-09-01,556385
"31794","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-10-01,612388
"31795","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-11-01,606268
"31796","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2009-12-01,655264
"31797","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-01-01,743250
"31798","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-02-01,742988
"31799","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-03-01,797443
"31800","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-04-01,827478
"31801","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-05-01,1250860
"31802","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-06-01,1279457
"31803","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-07-01,1284586
"31804","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-08-01,1283919
"31805","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-09-01,1287642
"31806","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-10-01,1272543
"31807","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-11-01,1270169
"31808","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2010-12-01,1204463
"31809","Assets acquired or bought in to protect an advance or investment (total of items 273 to 275)",2011-01-01,1392559
